iter	Passed	Remaining
0	45	13515
1	83	12419
2	120	11920
3	154	11405
4	187	11091
5	220	10824
6	253	10613
7	288	10536
8	322	10434
9	352	10223
10	387	10168
11	418	10038
12	449	9915
13	484	9906
14	517	9828
15	551	9783
16	583	9707
17	614	9621
18	647	9575
19	678	9493
20	713	9482
21	745	9423
22	776	9347
23	807	9289
24	839	9229
25	875	9229
26	908	9186
27	941	9145
28	974	9102
29	1006	9054
30	1038	9010
31	1068	8945
32	1098	8887
33	1126	8811
34	1154	8742
35	1188	8716
36	1220	8677
37	1251	8630
38	1280	8572
39	1310	8518
40	1340	8465
41	1367	8397
42	1395	8338
43	1422	8276
44	1451	8224
45	1479	8170
46	1507	8117
47	1534	8056
48	1562	8003
49	1589	7946
50	1619	7904
51	1651	7875
52	1679	7827
53	1704	7765
54	1727	7696
55	1757	7655
56	1786	7614
57	1812	7564
58	1844	7535
59	1875	7503
60	1902	7453
61	1931	7415
62	1960	7375
63	1990	7338
64	2019	7302
65	2046	7257
66	2076	7220
67	2102	7173
68	2129	7130
69	2160	7099
70	2188	7057
71	2219	7028
72	2245	6981
73	2271	6936
74	2299	6897
75	2326	6856
76	2350	6808
77	2378	6770
78	2407	6734
79	2433	6691
80	2461	6654
81	2487	6612
82	2513	6571
83	2540	6533
84	2565	6488
85	2588	6442
86	2614	6401
87	2643	6369
88	2670	6330
89	2698	6296
90	2728	6266
91	2751	6221
92	2779	6185
93	2807	6153
94	2840	6128
95	2867	6092
96	2898	6065
97	2931	6041
98	2966	6022
99	2995	5991
100	3021	5952
101	3042	5906
102	3070	5873
103	3098	5839
104	3126	5806
105	3158	5780
106	3184	5743
107	3211	5709
108	3239	5675
109	3264	5638
110	3292	5605
111	3321	5575
112	3346	5538
113	3370	5498
114	3398	5467
115	3424	5432
116	3445	5388
117	3473	5357
118	3502	5327
119	3536	5305
120	3557	5262
121	3583	5228
122	3603	5185
123	3633	5157
124	3658	5122
125	3687	5091
126	3714	5059
127	3735	5020
128	3755	4978
129	3782	4946
130	3807	4911
131	3834	4880
132	3856	4842
133	3886	4814
134	3918	4789
135	3944	4756
136	3973	4727
137	3994	4689
138	4020	4657
139	4042	4619
140	4062	4581
141	4083	4543
142	4120	4524
143	4147	4493
144	4173	4460
145	4194	4424
146	4215	4387
147	4239	4353
148	4265	4323
149	4289	4289
150	4318	4261
151	4373	4258
152	4402	4229
153	4423	4194
154	4444	4157
155	4467	4124
156	4496	4095
157	4522	4064
158	4551	4036
159	4577	4005
160	4609	3979
161	4631	3945
162	4661	3917
163	4688	3888
164	4715	3858
165	4746	3831
166	4769	3798
167	4793	3766
168	4820	3736
169	4845	3705
170	4872	3676
171	4894	3642
172	4915	3608
173	4941	3578
174	4962	3544
175	4985	3512
176	5006	3479
177	5030	3447
178	5050	3414
179	5071	3380
180	5093	3348
181	5122	3321
182	5144	3289
183	5166	3257
184	5187	3224
185	5209	3192
186	5232	3162
187	5254	3130
188	5275	3098
189	5296	3066
190	5316	3034
191	5339	3003
192	5360	2971
193	5380	2939
194	5401	2908
195	5424	2878
196	5446	2847
197	5467	2816
198	5488	2785
199	5508	2754
200	5534	2726
201	5555	2695
202	5576	2664
203	5601	2636
204	5628	2608
205	5672	2588
206	5699	2560
207	5727	2533
208	5755	2505
209	5779	2476
210	5808	2449
211	5829	2419
212	5853	2390
213	5879	2362
214	5904	2334
215	5932	2307
216	5957	2278
217	5983	2250
218	6004	2220
219	6024	2190
220	6045	2160
221	6070	2132
222	6090	2103
223	6111	2073
224	6132	2044
225	6153	2014
226	6175	1985
227	6195	1956
228	6216	1927
229	6246	1901
230	6266	1871
231	6286	1842
232	6313	1815
233	6336	1787
234	6357	1758
235	6378	1729
236	6399	1701
237	6421	1672
238	6442	1644
239	6465	1616
240	6490	1589
241	6511	1560
242	6538	1533
243	6559	1505
244	6579	1477
245	6599	1448
246	6620	1420
247	6643	1393
248	6665	1365
249	6686	1337
250	6708	1309
251	6735	1282
252	6758	1255
253	6789	1229
254	6812	1202
255	6836	1174
256	6859	1147
257	6880	1120
258	6902	1092
259	6924	1065
260	6945	1037
261	6972	1011
262	6999	984
263	7026	958
264	7047	930
265	7070	903
266	7092	876
267	7115	849
268	7136	822
269	7158	795
270	7178	768
271	7200	741
272	7220	714
273	7241	687
274	7261	660
275	7286	633
276	7307	606
277	7328	579
278	7349	553
279	7373	526
280	7400	500
281	7424	473
282	7446	447
283	7471	420
284	7493	394
285	7517	367
286	7539	341
287	7562	315
288	7584	288
289	7605	262
290	7626	235
291	7648	209
292	7670	183
293	7694	157
294	7716	130
295	7740	104
296	7763	78
297	7785	52
298	7808	26
299	7832	0
