Id,class
1,1.3931788194917913e-06
2,3.045316802822029e-07
3,1.8949374878440955e-07
4,1.0565003126093773e-05
5,1.065488998423737e-07
6,8.876124762128771e-08
7,4.1535840466926724e-08
8,4.678123724598103e-08
9,1.9181695913218128e-07
10,6.785248855521205e-08
11,1.8315305895648036e-08
12,2.2235050008375657e-07
13,1.688549717943426e-08
14,7.448393943591191e-08
15,1.819301199790646e-08
16,1.3264571756766409e-08
17,2.415537385732312e-08
18,3.1965620293721584e-07
19,1.6422750917987005e-08
20,3.869718053069969e-08
21,1.5662680481729774e-07
22,3.570509082256839e-07
23,6.605545805760167e-08
24,1.0000236517302216e-07
25,6.516947004100953e-08
26,1.576239032173063e-08
27,2.4661357809044522e-06
28,1.341055493076161e-06
29,2.490509420029295e-07
30,6.672068418462858e-08
31,1.577744345622766e-07
32,7.501798532900961e-08
33,3.6952038388570665e-08
34,2.442050442942105e-08
35,3.342161089467983e-08
36,9.907048831905461e-08
37,2.1248546555940525e-05
38,4.1991685825108217e-07
39,5.493741572248315e-07
40,4.063232645194089e-08
41,2.323066755194101e-08
42,3.146568863677363e-08
43,6.56606626357303e-08
44,6.315226553885514e-08
45,1.0239992236747205e-07
46,7.806766793501622e-08
47,5.532042060237516e-07
48,2.438191557082151e-07
49,3.5270611091592056e-07
50,5.831944600721717e-07
51,1.4673589280897273e-06
52,5.831944600721717e-07
53,1.6803778387371464e-07
54,1.6803778387371464e-07
55,3.150276982285068e-07
56,1.2219851993517477e-06
57,4.0916572860642045e-07
58,1.4285359284611746e-06
59,2.6120667224319556e-06
60,2.479178348247994e-07
61,3.579733449580412e-06
62,6.51446653832474e-07
63,3.880095531518602e-06
64,8.68200525014081e-07
65,3.9222996483410107e-07
66,3.53623056971618e-06
67,7.580300027573851e-07
68,1.719376404919929e-06
69,8.399862126132214e-07
70,9.450588687708933e-07
71,1.7653357330906485e-07
72,1.4125066583074114e-07
73,1.6561339654319393e-06
74,7.003097761894504e-07
75,3.0188076581297065e-07
76,1.6195340654301116e-07
77,2.47927883552957e-07
78,2.1743668512410638e-07
79,2.9295106412902036e-07
80,1.7541832123105226e-08
81,8.237002947193473e-08
82,2.3977585099344992e-08
83,8.452019831884026e-08
84,5.1738280359934647e-08
85,1.3674825074881665e-07
86,2.980104219541335e-07
87,1.433778491788025e-07
88,3.460179180829282e-07
89,3.427916771508595e-06
90,1.1435777770976955e-05
91,1.4855875165425873e-07
92,2.27816572863417e-08
93,1.9877219957679505e-08
94,3.834196670360643e-08
95,2.5257477690751767e-07
96,1.7406323851489407e-08
97,1.1606891970648072e-07
98,1.8718041303004817e-08
99,2.948198240446603e-07
100,1.6558713052275544e-07
101,6.205661114266768e-08
102,1.1438684860203692e-07
103,2.73120652247773e-07
104,2.416675131873688e-08
105,1.0096434542151328e-07
106,5.450803698409827e-08
107,7.587170468016995e-08
108,5.424587633296865e-08
109,9.440726600575554e-09
110,6.551553619182083e-07
111,1.2931274377676182e-08
112,1.1790239774704832e-08
113,8.38894131061532e-08
114,1.5464592303519925e-07
115,1.4038964954056367e-07
116,8.724685789291094e-08
117,5.051513813093681e-08
118,4.699001242800374e-08
119,2.0603770236721402e-07
120,9.632314053050514e-08
121,1.238884447672946e-07
122,1.1293658968193027e-07
123,1.7896909762656194e-07
124,8.083691073915888e-08
125,4.119359172187945e-08
126,9.523130489314021e-08
127,5.4221865559626616e-08
128,1.0177827772414627e-06
129,9.829948580284179e-07
130,2.2960204803544728e-07
131,6.383701860896628e-08
132,2.146391443407983e-07
133,1.3257138706616363e-07
134,8.160705228404349e-08
135,1.8952829420498434e-07
136,6.581435605049876e-08
137,9.419978973100481e-08
138,2.0484596826648932e-07
139,6.626505767639394e-08
140,1.1515806961581019e-07
141,7.288357246053262e-08
142,1.0168635238035097e-07
143,2.2640422302760119e-07
144,3.0289083467841474e-08
145,6.479588422055227e-07
146,7.590422298008549e-08
147,4.3322998800401014e-08
148,2.320873199935037e-07
149,4.0090037178098107e-07
150,1.4615172520315746e-06
151,1.4446897069035072e-07
152,1.8952829420498434e-07
153,1.1535812420579168e-07
154,3.1594579354969648e-06
155,1.545680147797922e-07
156,1.589350764033666e-07
157,4.903911158252842e-07
158,4.718586320499537e-06
159,1.6480471202595827e-06
160,7.576840969818738e-06
161,9.13417685420172e-07
162,1.9413319969933985e-07
163,3.986225292628212e-07
164,1.1220941289321621e-07
165,1.3971650021992437e-07
166,5.336891003926759e-07
167,1.9944329023874626e-07
168,1.897511604625727e-07
169,1.2949867704441289e-05
170,8.583927875107114e-08
171,1.1374661263174088e-07
172,2.965346433591548e-07
173,1.9002647350118707e-07
174,4.045035570182769e-07
175,6.487807357488512e-08
176,1.7166722172900892e-07
177,6.483145439446956e-08
178,1.092763880765643e-07
179,1.035567581078954e-07
180,5.039175222925665e-07
181,2.737627900923927e-07
182,1.8446935109948975e-07
183,2.8936002812412367e-07
184,1.194507512946322e-07
185,1.4313519599246615e-06
186,1.5820474363034448e-07
187,6.746505455026963e-08
188,7.628179326349715e-08
189,6.648112594483141e-08
190,3.5092001648500378e-06
191,3.0409967798031005e-05
192,9.427836284235595e-06
193,9.639105918314194e-07
194,4.5534199248087667e-07
195,1.3866110257295629e-06
196,6.6400010744198135e-06
197,3.187584756518315e-07
198,1.3405686788095316e-07
199,3.6896332018621873e-07
200,2.2181441030293562e-07
201,2.349581798989875e-07
202,0.00018210729545773473
203,1.0629936590827285e-07
204,9.876756326911686e-06
205,8.869504048861503e-08
206,1.3332236662234196e-07
207,3.4528905429720464e-07
208,7.971774210386926e-07
209,8.813787783858786e-07
210,1.7518895910630907e-07
211,2.1618950143408524e-07
212,1.53983421299059e-07
213,5.192596831496001e-07
214,6.641562180811705e-07
215,2.6034314845928916e-07
216,7.986487921866428e-05
217,3.600476140317224e-05
218,1.6447531523042336e-05
219,9.239250187694418e-07
220,0.0002648737725258366
221,0.30901385019583816
222,6.917493046951953e-05
223,2.0219690215509344e-06
224,6.461864054427718e-07
225,3.450074443284669e-07
226,3.3806837987098134e-08
227,5.095576388063064e-08
228,2.7618937335550597e-08
229,9.508563118782728e-09
230,6.669705682573458e-08
231,3.728629404773351e-08
232,7.395504714127836e-08
233,1.4874152537018081e-07
234,1.1991322252552383e-06
235,2.334019760911303e-06
236,3.254192128225563e-07
237,2.934264190659452e-08
238,3.223322152297847e-08
239,5.1275374409556736e-08
240,2.641878014419873e-07
241,6.843946511543725e-05
242,5.666503397472557e-07
243,2.5939783775532183e-07
244,1.5983236772324915e-07
245,5.4060691966460954e-08
246,1.940405647904145e-07
247,2.0393750040971664e-06
248,4.3213686568066727e-07
249,1.5567681055083767e-07
250,1.894382165922918e-07
251,2.7786588961906245e-07
252,2.6683240009602056e-06
253,3.494667855253589e-06
254,1.5371058376604785e-07
255,0.00010617884659966659
256,2.0656546493529195e-05
257,1.7828942234914953e-07
258,4.662756529169437e-06
259,8.294051301186154e-06
260,1.0975402987260861e-06
261,2.144851180310121e-06
262,5.243548505655674e-07
263,1.484648678566978e-07
264,3.3603371082075686e-07
265,2.2566299390790108e-07
266,4.7935137474452025e-08
267,9.228633265695331e-07
268,2.3729403931926653e-07
269,2.498232120925966e-08
270,2.2532110153197463e-07
271,3.436694376261774e-08
272,5.682544244882898e-08
273,6.708956958008285e-08
274,2.4645380301721598e-08
275,1.1715762359087482e-08
276,3.7032945514525774e-08
277,6.362727553837194e-08
278,2.3750395590766905e-08
279,2.3155143092842906e-07
280,1.3741776331459945e-08
281,8.396820760165555e-08
282,6.010354160176457e-08
283,2.1741614213818695e-07
284,6.145948548637419e-08
285,2.8015115315475333e-08
286,2.865411144754624e-08
287,4.661932593996445e-08
288,1.1643234056972576e-07
289,1.8130442022693284e-07
290,1.9019358359067505e-07
291,3.2231412674911516e-08
292,8.05346124471379e-08
293,1.713696372035781e-07
294,3.933635581443428e-08
295,4.264637008016588e-08
296,1.013513839036685e-07
297,4.263445697195248e-08
298,4.486657331611277e-08
299,2.9709821596192033e-08
300,3.23229262891152e-07
301,7.051679117352499e-08
302,1.7528599723099215e-07
303,1.391781706748629e-07
304,7.149843801185556e-08
305,1.4359805491341304e-07
306,5.7453850062259785e-08
307,1.6212083319467517e-07
308,1.1533030212450022e-07
309,2.6515896720008025e-06
310,1.092763880765643e-07
311,3.1856860321588444e-07
312,1.0732137045718081e-07
313,1.2611007601075043e-07
314,1.9278007082686602e-06
315,2.598141021957429e-07
316,1.487899283625354e-06
317,9.322862932120819e-07
318,3.8517779443346424e-07
319,1.8339812294198225e-06
320,1.5854078245421966e-07
321,2.0556308864665208e-07
322,2.1097782773011697e-07
323,6.151189499733626e-07
324,8.75378915410817e-08
325,1.5987305404519998e-07
326,3.937496217332203e-07
327,1.1618266235934831e-07
328,3.1872744468131925e-07
329,1.1716268544332148e-07
330,1.8772923524254522e-07
331,1.7882962256636707e-07
332,9.539710520106687e-07
333,1.9047371553303536e-07
334,8.088291106434417e-08
335,2.6742308824417494e-06
336,7.183517535933122e-08
337,2.4912952313196146e-07
338,1.379822937450798e-07
339,3.394010642845512e-07
340,8.814438756874093e-06
341,1.723332688278255e-07
342,1.4446897069035072e-07
343,1.1452109175904358e-07
344,1.379822937450798e-07
345,3.288838425480557e-07
346,5.0756612906113176e-08
347,6.553519712295077e-07
348,3.220133994905893e-08
349,1.782784839033247e-07
350,6.874220323251268e-08
351,1.6537313105063675e-07
352,2.115741470210887e-07
353,4.3049082516755425e-07
354,7.10800412650335e-08
355,2.9210818751127573e-06
356,1.0247891781613144e-07
357,5.960727430351006e-08
358,4.347885433591922e-07
359,5.46980882844939e-07
360,5.247182449984332e-07
361,3.2536405118542824e-08
362,6.708956958008285e-08
363,1.1968457198076294e-08
364,2.4540321153543618e-08
365,4.1837442307797596e-07
366,3.162029980632636e-07
367,8.425023645146959e-08
368,1.5172225877046005e-07
369,2.828812035771046e-07
370,2.2414584235931186e-07
371,4.7466564535940196e-08
372,4.678805778097506e-08
373,1.5206408134531935e-08
374,5.962890326535714e-07
375,1.2032104098529559e-08
376,1.3612804828431324e-08
377,1.7415878022291065e-06
378,3.7917171984911044e-08
379,1.372759253358544e-06
380,5.367072653384254e-07
381,1.5289855672253922e-08
382,8.296005826616798e-09
383,5.902932355211726e-07
384,1.9082413521485782e-07
385,2.030098413407928e-08
386,1.2778317709824374e-08
387,4.696073195316142e-08
388,1.8751496622790134e-07
389,1.022467884104861e-06
390,1.6641904487687906e-07
391,1.6642209973949745e-07
392,2.450146872714339e-08
393,1.694335752900134e-07
394,1.2848964865541103e-08
395,4.953940877822018e-08
396,6.01702807801128e-07
397,1.923692416515827e-08
398,2.470836613230397e-06
399,7.738254440905263e-08
400,1.3287956774134933e-07
401,5.035451887331024e-07
402,3.7063422600916554e-07
403,1.7553652462230644e-07
404,4.7631921994336825e-08
405,1.7289650197748384e-07
406,1.826704439440172e-06
407,1.304153767552281e-07
408,3.252004025996653e-08
409,4.7720165533985355e-08
410,6.491081995844311e-08
411,2.3986071587158365e-07
412,8.135789021476567e-08
413,7.291119569297558e-08
414,1.2622328309647692e-07
415,4.7468314963379256e-07
416,1.6097445900754925e-07
417,2.16365071867518e-07
418,7.680892058910855e-06
419,3.9231805844855223e-07
420,5.359418269909503e-08
421,4.484428857033997e-07
422,2.673111734425765e-07
423,1.694708356393693e-07
424,1.7898761892548157e-08
425,2.0669466804207025e-07
426,1.0278462434409325e-07
427,7.994695792274444e-08
428,9.652085541336345e-08
429,2.0370010224431176e-08
430,2.2633371742404182e-07
431,7.82204564891009e-08
432,2.2614597988577687e-08
433,9.985625918554668e-07
434,1.1651651902271859e-07
435,1.4242228026210617e-08
436,2.7623987688830128e-08
437,7.87834240099378e-07
438,2.2154962397993694e-06
439,3.8698152950598384e-08
440,2.2175213704139347e-07
441,2.8441101588373723e-07
442,1.4693662984090896e-08
443,4.86271032584412e-07
444,6.095363539550335e-08
445,8.139067251467503e-08
446,1.0528639577074118e-07
447,4.150273616939227e-08
448,0.0008761665220002099
449,0.0004896134124999477
450,1.602415250185429e-08
451,2.91621379492972e-07
452,1.2365934244032955e-07
453,5.847671545606731e-07
454,5.6592808499360724e-08
455,5.55818539879157e-08
456,7.341601974006461e-08
457,6.466831582260609e-08
458,1.8572824741592423e-07
459,5.9440294883941385e-08
460,6.072111593126053e-08
461,6.96368195653119e-08
462,6.540763822698373e-08
463,5.6678120630395686e-08
464,9.48710498246493e-08
465,1.0898690123763169e-07
466,1.2694873573445152e-07
467,1.0042596150393515e-07
468,8.03783745443477e-08
469,8.726393028993098e-08
470,5.44654186039791e-07
471,1.0149481805477509e-07
472,5.990613034567293e-08
473,6.483119568628986e-08
474,1.4145210298187097e-07
475,1.0133849293419984e-07
476,1.4316632119693606e-07
477,9.960815127599261e-07
478,9.517130701273046e-08
479,1.1883023517960511e-07
480,7.342968262823077e-08
481,7.343049123843387e-08
482,6.390279882134673e-08
483,8.255154380110785e-08
484,5.6678120630395686e-08
485,6.475815670861183e-08
486,1.5337445149046816e-07
487,1.091962669471901e-07
488,8.362232704859595e-08
489,6.364867104079393e-08
490,8.849481548684345e-08
491,7.277305127700186e-08
492,6.286778395036887e-08
493,8.10582534043828e-08
494,6.095722445786203e-08
495,9.099765409686865e-08
496,6.540763822698373e-08
497,8.030410329279707e-08
498,6.759180769766877e-08
499,4.4640100788926355e-08
500,5.331658721044062e-08
501,4.508270667541461e-08
502,8.196416262228396e-08
503,1.0530199938115986e-07
504,1.7640174186536304e-07
505,8.643712448980961e-08
506,1.7944875846733545e-07
507,8.61728885875486e-08
508,9.201188118412734e-08
509,3.0133793027985813e-07
510,3.216355741382794e-08
511,4.290843497516502e-08
512,4.529482411463918e-08
513,1.2618255529272446e-07
514,4.185111271531424e-08
515,2.3779116581517322e-08
516,4.4094806452776495e-08
517,1.446943067312165e-08
518,3.525117644318689e-08
519,2.3714211156431104e-08
520,5.912669995571169e-08
521,3.495862912320551e-08
522,8.047536256033064e-08
523,1.51466475746829e-08
524,3.541050853860127e-08
525,2.3308732293212374e-08
526,9.175139714993135e-08
527,1.7792043040534287e-08
528,2.276874727573278e-08
529,1.7820085589902322e-07
530,1.528466413632534e-08
531,1.1357265370606053e-07
532,6.52546849346504e-08
533,3.851676271532484e-08
534,3.632236392576337e-08
535,7.885240407225948e-07
536,4.8203657256390615e-06
537,1.6807080743001397e-07
538,2.5413035610686716e-08
539,7.08823745008957e-08
540,8.832204749503517e-09
541,1.308299707592661e-08
542,3.9634525475259104e-08
543,4.850117927298804e-08
544,1.4250732028444915e-08
545,3.089545717437363e-08
546,2.024356319777012e-08
547,1.846456636703614e-08
548,7.953642939076241e-08
549,7.182230729877869e-08
550,1.6545031877385946e-08
551,3.427331169407974e-08
552,1.364066900888958e-08
553,4.6389355411180145e-07
554,7.665173810753002e-08
555,1.814960429525012e-07
556,1.6014009492569958e-05
557,1.2559589790752638e-07
558,2.454621393599719e-07
559,1.6616067171475997e-06
560,2.7058717074986646e-08
561,4.738280023685695e-08
562,1.316903447989415e-07
563,3.36254110859216e-08
564,6.915931010883956e-08
565,1.1746668115450482e-08
566,5.9257998245314075e-08
567,3.7368965650118335e-08
568,2.3227247810416702e-07
569,4.8020911698406324e-08
570,3.529691831081583e-08
571,2.240439730372753e-08
572,1.654956808366941e-07
573,2.4059905800145916e-08
574,8.270141442713994e-08
575,3.77067006215072e-08
576,5.184756784618915e-07
577,7.635929386577054e-08
578,3.054902246394168e-08
579,1.9400368324614535e-07
580,1.9665336176509907e-07
581,1.9274564676242984e-06
582,1.763684528011411e-08
583,1.8062321309164296e-08
584,3.574625723042222e-08
585,1.3557573401576172e-08
586,6.488478693059379e-08
587,1.7176866193753693e-07
588,8.966310810769724e-08
589,1.4179188518420374e-08
590,4.494372635364508e-08
591,1.6399336638064002e-07
592,2.6681490124950045e-08
593,1.9590986842567848e-07
594,8.910964847356823e-08
595,6.087999154529044e-08
596,1.1318584944089668e-08
597,1.2998220181423832e-08
598,2.4019914521074084e-08
599,1.0944427946582538e-08
600,1.2115354244308798e-08
601,2.3685232440711426e-08
602,4.24301216561546e-08
603,2.770401116320515e-07
604,3.426752557800395e-08
605,7.189207756086033e-07
606,2.5402674129283044e-08
607,2.5113353235390503e-07
608,1.7182774916756123e-08
609,4.110514518854761e-07
610,4.7464109169692193e-07
611,1.2323529997887284e-08
612,1.7640349163852234e-08
613,7.422064788254232e-08
614,6.100313799461284e-08
615,4.320340180489127e-07
616,2.4285510935017445e-05
617,2.1224181684963807e-08
618,5.0167507397324026e-08
619,4.56940215865182e-08
620,9.612620147027924e-09
621,5.3418553837651644e-08
622,3.360919101389948e-08
623,4.037519496433324e-08
624,8.516713372975841e-08
625,2.2929571959221595e-07
626,7.355588122155755e-07
627,9.747102448966598e-08
628,1.0327194716094844e-07
629,2.0915755639054103e-07
630,6.487829788734495e-08
631,2.48818194149921e-07
632,5.8945325518705e-07
633,6.024586724439228e-07
634,1.3443497211546985e-06
635,2.0243231910908645e-07
636,9.853006802653636e-08
637,1.1532309300641057e-07
638,9.72300146107915e-08
639,1.3303240448338927e-06
640,1.1235964284708311e-07
641,9.926405583420987e-08
642,1.7698734255950366e-07
643,1.4366878604190707e-07
644,1.322838499903491e-07
645,6.529004735449303e-08
646,1.3019295363703211e-07
647,1.6676370054269548e-06
648,2.0859842837863436e-07
649,9.393778866642161e-08
650,2.031919911981769e-07
651,1.9330009639894973e-07
652,3.4308280525761277e-07
653,1.058612524402703e-07
654,8.278411921182934e-08
655,9.955817383936185e-08
656,1.19687409146399e-07
657,3.643310663389439e-07
658,2.524985824281728e-06
